Timestamp,Location,Family member,Age,Male members,Female members,Building age,Land size,Male guest room,Female guest room,Living room,Outside room,,total family members ,,,,
2019/05/24 5:54:13 pm GMT-6,3.00,1.00,60.00,2.00,5.00,1989.00,600.00,6.00,8.00,5.00,360.00,,7.00,,,,
2019/05/25 9:16:34 am GMT-6,4.00,1.00,48.00,4.00,4.00,2003.00,1000.00,15.00,0.00,360.00,360.00,,8.00,,,,
2019/05/25 11:10:56 am GMT-6,2.00,2.00,55.00,3.00,4.00,2011.00,700.00,15.00,15.00,360.00,100.00,,7.00,,,,
2019/05/24 6:42:35 pm GMT-6,2.00,2.00,52.00,4.00,1.00,1995.00,390.00,7.00,20.00,360.00,0.00,,5.00,,,,
2019/05/24 6:05:21 pm GMT-6,1.00,2.00,55.00,3.00,2.00,1996.00,450.00,10.00,5.00,360.00,50.00,,5.00,,,,
2019/05/24 6:41:23 pm GMT-6,2.00,3.00,20.00,3.00,3.00,1998.00,600.00,12.00,20.00,360.00,0.00,,6.00,,,,
2019/05/22 7:06:33 am GMT-6,1.00,2.00,25.00,11.00,5.00,2008.00,945.00,20.00,10.00,360.00,360.00,,16.00,,,,
2019/05/22 3:46:03 am GMT-6,3.00,1.00,26.00,2.00,3.00,1998.00,4500.00,5.00,15.00,0.00,360.00,,5.00,,,,
2019/05/22 11:58:01 am GMT-6,1.00,2.00,26.00,1.00,4.00,1993.00,1000.00,5.00,20.00,0.00,160.00,,5.00,,,,
2019/05/24 6:32:37 pm GMT-6,4.00,2.00,26.00,3.00,8.00,1988.00,500.00,4.00,4.00,360.00,160.00,,11.00,,,,
2019/05/24 11:02:37 pm GMT-6,1.00,1.00,26.00,3.00,2.00,2008.00,380.00,0.00,0.00,5.00,0.00,,5.00,,,,
2019/05/24 11:26:53 pm GMT-6,1.00,1.00,26.00,4.00,2.00,2007.00,750.00,1.00,0.00,50.00,360.00,,6.00,,,,
2019/05/22 3:34:51 am GMT-6,1.00,2.00,27.00,3.00,2.00,1999.00,600.00,12.00,12.00,300.00,250.00,,5.00,,,,
2019/05/24 5:48:40 pm GMT-6,2.00,1.00,27.00,6.00,1.00,2009.00,300.00,8.00,0.00,360.00,360.00,,7.00,,,,
